"SurfArea" "Volume" "MajAxis" "MinAxis" "Ecc" "ConvVol" "EqDiam" "Round" "Type"
45462.6 850.26 309.5 193.33 0.76 46059.98 242.86 0.82 "metallic"
44454.16 823.39 292.97 191.93 0.74 44878.02 238.43 0.85 "metallic"
58846.45 961.41 365.89 211.69 0.8 60004.59 269.77 0.81 "silicate"
32619.91 717.5 283.68 148.49 0.84 33498.79 205.11 0.82 "carbonaceous"
36880.58 746.99 306 152.07 0.86 37841.8 217.25 0.83 "carbonaceous"
57754.7 943.65 373.31 205.33 0.82 58854.7 275.13 0.82 "silicate"
57703.69 922.32 367.17 205.77 0.82 58429.66 267.23 0.83 "silicate"
49648.57 858.67 302.44 209.47 0.73 50292.4 251.16 0.84 "metallic"
47990.71 831.2 312.4 202 0.76 49421.52 241.38 0.9 "metallic"
37185.8 730.23 303.04 162.37 0.84 37825.1 218.61 0.85 "carbonaceous"
37744.92 769.67 296.78 164.01 0.84 37680.83 215.59 0.81 "carbonaceous"
57785.67 925.58 357.04 203.22 0.82 59981.46 265.26 0.84 "silicate"
56397.42 919.39 376.84 195.25 0.85 57579.39 268.96 0.85 "silicate"
36434.45 766.7 301.11 157.7 0.84 37303.5 217.7 0.79 "carbonaceous"
48106.94 833.28 296.52 207.36 0.76 49201.56 246.16 0.89 "metallic"
57066.56 912.72 350.73 204.69 0.82 57786.81 265.43 0.89 "silicate"
50783.88 817.31 297.93 208.68 0.74 50067.04 251.05 0.91 "silicate"
59606.71 956.86 350.21 215.56 0.8 60875.35 278.24 0.83 "silicate"
48664.3 884.53 311.9 208.67 0.74 51924.47 253.59 0.82 "metallic"
55270.32 917.31 354.32 196.38 0.84 56207.94 263.22 0.82 "silicate"
47316.14 847.08 301.06 201.14 0.74 48092.39 242.05 0.8 "metallic"
41151.53 814.2 304.56 173.11 0.81 42143.04 230.44 0.78 "metallic"
38346.64 752.83 293.17 169.77 0.81 39404.68 221.68 0.86 "carbonaceous"
57534.28 906.45 351.04 210.4 0.8 58578.83 267.95 0.86 "silicate"
46187.34 843.76 297.43 195.68 0.75 47052.92 244.99 0.8 "metallic"
34920 750.81 300.99 149.11 0.83 35194.92 204.42 0.77 "carbonaceous"
55370.02 885.7 322.48 224.75 0.72 57613.69 264.35 0.88 "silicate"
59500.16 934.97 367.71 211.9 0.81 60412.08 277.24 0.86 "silicate"
35834.34 709.06 261.44 173.25 0.76 36273.01 214.89 0.93 "carbonaceous"
59854.95 943.15 350.28 214.67 0.8 60553.76 279.94 0.84 "silicate"
37532.52 763.93 304.72 154.99 0.85 38088.07 220.47 0.8 "carbonaceous"
56368.68 908.91 347.96 211.94 0.8 57938.74 268.28 0.89 "silicate"
53737.36 898.87 356.27 194.07 0.84 55035.04 264.62 0.83 "silicate"
37741.93 731.04 277.33 170.91 0.8 38268.55 221.61 0.9 "carbonaceous"
54588.6 915.8 350.34 202.04 0.84 55695.95 263.85 0.86 "silicate"
33961.77 694.01 271.77 162.99 0.82 33950.02 208.93 0.85 "carbonaceous"
55395.37 914.37 352.71 208.78 0.79 56345.51 262.63 0.85 "silicate"
50840.24 855.46 325.21 198.85 0.8 52362.91 254.77 0.89 "metallic"
32772.31 719.17 265.2 158.91 0.8 33559.95 205.98 0.78 "carbonaceous"
37785.88 760.72 308.05 160.15 0.83 38494.76 223.42 0.85 "carbonaceous"
50875.22 881.01 317.75 208.57 0.76 52122.73 253.23 0.82 "metallic"
50101.17 873.68 314.65 204.7 0.77 50020.64 254.37 0.82 "metallic"
51160.84 879.4 326.41 197.8 0.78 52477.84 254.56 0.82 "metallic"
59154.21 928.48 363.35 212.51 0.82 59348.18 275.28 0.87 "silicate"
50268.96 906.63 311.8 204.45 0.75 51501.93 257.26 0.79 "metallic"
52192.35 890.16 332.95 197.03 0.81 52432.57 255.94 0.8 "metallic"
48531.06 859.7 323.77 194.73 0.78 49832.85 251.74 0.82 "metallic"
50297.06 987.79 329.57 196.01 0.79 51595.92 259.22 0.65 "metallic"
58073.87 915.4 334.43 224.21 0.77 59509.88 270.64 0.85 "silicate"
36719.87 728.58 291.91 157.59 0.84 36967.9 215.63 0.88 "carbonaceous"
37881.27 775.48 316.68 152.08 0.85 38727.46 217.28 0.78 "carbonaceous"
43130.53 848.01 292.26 184.86 0.77 43194.75 236.45 0.77 "metallic"
54526.92 888.85 344.36 204.13 0.8 55328.92 263.9 0.87 "silicate"
59856.45 938.42 365.57 209.21 0.83 58985.39 272.86 0.84 "silicate"
54418.84 869.9 301.15 227.74 0.66 54892.41 260.35 0.93 "silicate"
34043.68 680.39 275.38 159.53 0.81 35036.95 206.45 0.88 "carbonaceous"
38256.98 777.63 309.76 162.41 0.85 38507.29 222.61 0.8 "carbonaceous"
52458.92 862.05 329.52 197.64 0.8 52326.95 258.76 0.84 "silicate"
33599.85 711.01 276.76 153.84 0.82 33653.37 208.35 0.85 "carbonaceous"
34156.84 722.23 279.19 157.87 0.84 34834.36 208.92 0.8 "carbonaceous"
58089.67 920.85 334.71 226.19 0.75 58740.71 275.27 0.87 "silicate"
37777.24 756.38 311.93 161.71 0.86 39024.65 219.31 0.83 "carbonaceous"
49201.6 883.17 321.23 202.73 0.75 51335.29 251.88 0.78 "metallic"
52690.29 889.96 342.48 199.04 0.81 52830.54 258.66 0.85 "silicate"
56297.6 910.22 358.93 201.89 0.8 56860.25 270.54 0.85 "silicate"
38844.43 773.29 315.63 154.89 0.87 38948.47 219.46 0.81 "carbonaceous"
58338.52 913.7 356.38 206.97 0.85 59045.2 268.64 0.88 "silicate"
33412.4 692.18 268.1 161.76 0.81 34257.84 206.65 0.88 "carbonaceous"
36266.01 737.5 286.83 165.3 0.84 36873.18 214.89 0.85 "carbonaceous"
33794.5 716.06 281.04 151.94 0.84 33781.5 201.5 0.84 "carbonaceous"
38060.48 762.03 309.51 162.71 0.83 39116.89 218.36 0.84 "carbonaceous"
41498.3 805.19 263.73 204.89 0.67 43185.33 230.65 0.8 "metallic"
51063.84 894.9 308.53 205.05 0.74 50148.56 251.67 0.78 "metallic"
59934.71 937.94 353.54 213.52 0.81 60194.08 277.24 0.84 "silicate"
46441.78 826.89 308.2 193.81 0.79 47522.07 241.66 0.84 "metallic"
50344.95 859.81 332.38 188.82 0.84 50099.98 251.38 0.82 "metallic"
58174.81 905.17 366.51 203.42 0.8 58510.68 273.69 0.86 "silicate"
47419.17 888.07 326.1 185.89 0.81 49123.04 247.77 0.79 "metallic"
46469.79 856.65 296.19 203.37 0.72 47872.26 241.64 0.79 "metallic"
45892.48 773.63 272.43 210.42 0.64 45533.72 240.39 0.91 "silicate"
50369.82 869.72 312.16 205.4 0.75 50985.8 252.66 0.87 "metallic"
48426.26 877.39 305.6 206.24 0.71 49325.28 246.44 0.78 "metallic"
37027.57 755.99 304.16 155.9 0.87 37582.41 217.99 0.83 "carbonaceous"
36261.21 750.85 295.61 153.77 0.85 36060.93 214.03 0.82 "carbonaceous"
36527.44 737.81 294.6 157.79 0.86 37076.86 214.12 0.81 "carbonaceous"
47757.81 810.37 290.41 214.14 0.68 47654.84 249.04 0.9 "metallic"
50042.79 844.01 276.5 231.08 0.58 50949.52 255.69 0.88 "metallic"
53808.96 909.71 354.3 198.75 0.82 54848.4 259 0.85 "silicate"
33927.13 689.29 261.61 165.99 0.78 34534.53 207.02 0.91 "carbonaceous"
36653.19 725.28 270.36 174.99 0.78 37172.09 214.41 0.88 "carbonaceous"
33940.06 752.97 299.48 151.43 0.86 34568.06 210.42 0.81 "carbonaceous"
